Authors,Title,Year,Link,DOI,SuggestedInclusion1,SuggestedInclusion2,derived decision,FinalDecision
,Formal specification and analysis of domain specific models using Maude,NA,https://journals.sagepub.com/doi/abs/10.1177/0037549709341635,,1. NO,1. NO,1. NO,1. NO
,A framework for evolution of modelling languages,NA,https://www.sciencedirect.com/science/article/pii/S0167642311000141,,1. NO,1. NO,1. NO,1. NO
,Using graph transformation for practical model-driven software engineering,NA,https://link.springer.com/chapter/10.1007/3-540-28554-7_5,,1. NO,1. NO,1. NO,1. NO
,Model transformation testing: oracle issue,NA,https://ieeexplore.ieee.org/abstract/document/4566997/?casa_…p0SbtH7z9XucHCwdNCiKYWUNkPwioRfiBUDyeLYly-BDA3xSfwkqa3U-Rjbo,,1. NO,1. NO,1. NO,1. NO
,Rapid synthesis of high-level architecture-based heterogeneous simulation: a model-based integration approach,NA,https://journals.sagepub.com/doi/abs/10.1177/003754971140195…S7fY1n_6ZbqOf83eYA8_kJqe6IqcTfBxwiflanmYhwRfl6Ap5TmomqB0Fc5A,,1. NO,1. NO,1. NO,1. NO
,Model transformation in the large,NA,https://dl.acm.org/doi/abs/10.1145/1287624.1287664?casa_toke…xLfnOl3WCtuezJBEEj5cKOUYfZgVvYW6OM4JPw-p0U884SqF3QpF6Q-fxQnA,,1. NO,1. NO,1. NO,1. NO
,Exploring multi-paradigm modeling techniques,NA,https://www.researchgate.net/publication/220164662_Exploring_Multi-Paradigm_Modeling_Techniques,,2. MAYBE,1. NO,1. NO,1. NO
,Live model transformations driven by incremental pattern matching,NA,https://link.springer.com/chapter/10.1007/978-3-540-69927-9_8,,1. NO,1. NO,1. NO,1. NO
,Change-driven model transformations,NA,https://idp.springer.com/authorize/casa?redirect_uri=https:/…m4O3ZQ-brTLdd2udnIhWiKYNPLALwDOwwt8INxWF01Td6L72yjStqTqfoazw,,1. NO,1. NO,1. NO,1. NO
,An example is worth a thousand words: Composite operation modeling by-example,NA,https://link.springer.com/chapter/10.1007/978-3-642-04425-0_20,,1. NO,1. NO,1. NO,1. NO
,Modhel'x: A component-oriented approach to multi-formalism modeling,NA,https://link.springer.com/chapter/10.1007/978-3-540-69073-3_26,,2. MAYBE,1. NO,1. NO,1. NO
,EMF model refactoring based on graph transformation concepts,NA,http://journal.ub.tu-berlin.de/eceasst/article/view/34,,1. NO,1. NO,1. NO,1. NO
,Supporting user-oriented analysis for multi-view domain-specific visual languages,NA,https://www.sciencedirect.com/science/article/pii/S0950584908001304,,1. NO,1. NO,1. NO,1. NO
,DEVSimPy: A collaborative python software for modeling and simulation of DEVS systems,NA,https://ieeexplore.ieee.org/abstract/document/5990023/?casa_…Tgy79HftflY4wfsdUJ4rTIpkpIB_cxaWtH2bkICTuYUJhO56q81ALV8HT-cU,,1. NO,1. NO,1. NO,1. NO
,Modularization of model transformations through a phasing mechanism,NA,https://idp.springer.com/authorize/casa?redirect_uri=https:/…1QctiHm7fmoTjaTsavJE-p_tJiCdsHorJK7gTXsCNT3mKXoJZMVRThXRYYKA,,1. NO,1. NO,1. NO,1. NO
,Automated Model Transformation and Its Validation Using AToM3 and AGG,NA,https://link.springer.com/chapter/10.1007/978-3-540-25931-2_18,,1. NO,1. NO,1. NO,1. NO
,MDD4MS: a model driven development framework for modeling and simulation,NA,https://www.researchgate.net/profile/Deniz_Cetinkaya/publica…r_modeling_and_simulation/links/5681068608ae1975838ec006.pdf,,1. NO,1. NO,1. NO,1. NO
,Road to a reactive and incremental model transformation platform: three generations of the VIATRA framework,NA,https://link.springer.com/article/10.1007/s10270-016-0530-4,,1. NO,1. NO,1. NO,1. NO
,A modular timed graph transformation language for simulation-based design,NA,https://idp.springer.com/authorize/casa?redirect_uri=https:/…7FsO5itkuI2v2Jqo6zCYQhZpwGI8bBjyKF0oUPOnkj7RmYD50MDlXVPkq-5g,,1. NO,1. NO,1. NO,1. NO
,A visual token-based formalization of BPMN 2.0 based on in-place transformations,NA,https://www.sciencedirect.com/science/article/pii/S0950584912001814,,1. NO,1. NO,1. NO,1. NO
,Automated model transformations for the analysis of IT systems,NA,https://repozitorium.omikk.bme.hu/bitstream/handle/10890/261/ertekezes.pdf?sequence=1,,1. NO,1. NO,1. NO,1. NO
,Research challenges in parallel and distributed simulation,NA,https://dl.acm.org/doi/abs/10.1145/2866577,,1. NO,1. NO,1. NO,1. NO
,Defining and validating transformations of UML models,NA,https://ieeexplore.ieee.org/abstract/document/1260218/?casa_…koLuUfvcDnBkW3tdikiVbgqEJzfy06YRtoOsrkkYkOpD7jwJnNN2vvGwOGZI,,1. NO,1. NO,1. NO,1. NO
,FTG+ PM: An integrated framework for investigating model transformation chains,NA,https://link.springer.com/chapter/10.1007/978-3-642-38911-5_11,,1. NO,1. NO,1. NO,1. NO
,Using meta-modelling and graph grammars to create modelling environments,NA,https://www.sciencedirect.com/science/article/pii/S1571066104806108,,1. NO,1. NO,1. NO,1. NO
,A uml and colored petri nets integrated modeling and analysis approach using graph transformation,NA,https://www.researchgate.net/publication/220299035_A_UML_and_Colored_Petri_Nets_Integrated_Modeling_and_Analysis_Approach_using_Graph_Transformation,,1. NO,1. NO,1. NO,1. NO
,Towards domain-specific model editors with automatic model completion,NA,https://journals.sagepub.com/doi/abs/10.1177/003754970934053…OBAc-R2GygTfFpdjM6p4_jBNk7nbcbT27taVSCxuvMeYci8ngDtveS3HI11g,,1. NO,1. NO,1. NO,1. NO
,Event-driven grammars: Relating abstract and concrete levels of visual languages,NA,https://link.springer.com/article/10.1007/s10270-007-0051-2,,1. NO,1. NO,1. NO,1. NO
,Execution framework of the gemoc studio (tool demo),NA,https://dl.acm.org/doi/abs/10.1145/2997364.2997384?casa_toke…AaXH0Ye2Z3e88dwCLzUyHyGpaeviYkHP4jlzYqocBGYT5SLnuDb2plqUOvmg,,1. NO,2. MAYBE,1. NO,1. NO
,MOMENT: a formal framework for MOdel manageMENT,NA,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.184.316&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
,Programmed graph rewriting with time for simulation-based design,NA,https://link.springer.com/chapter/10.1007/978-3-540-69927-9_7,,1. NO,1. NO,1. NO,1. NO
,Model-driven assessment of system dependability,NA,https://idp.springer.com/authorize/casa?redirect_uri=https:/…L0ygQVmNDXtozrcO7xRghZ3_0eodccbMOUdpLcTyQd6VSzJK8Q33Piuw3xnw,,1. NO,1. NO,1. NO,1. NO
,Simulation of Multi-Formalism Models with ModHel'X,NA,https://ieeexplore.ieee.org/abstract/document/4539559/?casa_…Nb-WbJHZhsNx1PpsYHYFpJWcFDIy3RiWxNj7MQ9HpPEfFMKNHS6XxL8jXIoI,,2. MAYBE,1. NO,1. NO,1. NO
,"Tuneable resolution as a systems biology approach for multi‐scale, multi‐compartment computational models",NA,https://onlinelibrary.wiley.com/doi/abs/10.1002/wsbm.1270,,1. NO,1. NO,1. NO,1. NO
,Model transformation modularization as a many-objective optimization problem,NA,https://ieeexplore.ieee.org/abstract/document/7820199/?casa_…OgSnMwU-yK0vspK5tRjCE9mrqz-atBswbwHRg4LxWNdEaxlBJEIVLKRj3SlI,,1. NO,1. NO,1. NO,1. NO
,Metamodeling and model transformations in modeling and simulation,NA,https://ieeexplore.ieee.org/abstract/document/6148005/?casa_…hwjgo6870AhNJsQl_tNZ_sCxG05hDum2fH-52RdT9pxztgGtVXIXpeXvXWZc,,1. NO,1. NO,1. NO,1. NO
,Advances in model-driven security,NA,https://www.sciencedirect.com/science/article/pii/B9780128001622000038,,1. NO,1. NO,1. NO,1. NO
,A suite of metamodels as a basis for a classification of visual languages,NA,https://ieeexplore.ieee.org/abstract/document/1372303/?casa_…rzPdb8jv8gp85BAkkPsiQxm7mef912X-e6BDbOlZRAtK2fjudp4lmCgRIjCg,,1. NO,1. NO,1. NO,1. NO
,Synchronization of abstract and concrete syntax in domain-specific modeling languages,NA,https://link.springer.com/article/10.1007/s10270-009-0122-7,,1. NO,3. YES,2. MAYBE,3. YES
,Generating domain-specific visual language tools from abstract visual specifications,NA,https://ieeexplore.ieee.org/abstract/document/6205768/?casa_…kknm4Qeo4tmziwUAbXj2u1Bcv01Jt1jnz8Se10qhkEwNw3hYx9T4M87GKP7k,,1. NO,1. NO,1. NO,1. NO
,Towards dependable model transformations: Qualifying input test data,NA,https://hal.inria.fr/inria-00477567/,,1. NO,1. NO,1. NO,1. NO
,Animated simulation of integrated UML behavioral models based on graph transformation,NA,https://ieeexplore.ieee.org/abstract/document/1509496/?casa_…1Mpoa89J7MwkX6xOO4I8j2N_0vCsVCzHtDQaoyNERK6PXoNaFZNwsKdl5CG8,,1. NO,1. NO,1. NO,1. NO
,A multi-paradigm foundation for model transformation language engineering,NA,http://www-ens.iro.umontreal.ca/~syriani/files/dissertation.pdf,,1. NO,1. NO,1. NO,1. NO
,Model view management with triple graph transformation systems,NA,https://link.springer.com/chapter/10.1007/11841883_25,,1. NO,1. NO,1. NO,1. NO
,Foundations of multi-paradigm modeling and simulation: computer automated multi-paradigm modelling: meta-modelling and graph transformation,NA,https://dl.acm.org/citation.cfm?id=1030900,,1. NO,1. NO,1. NO,1. NO
,Towards formal verification of UML diagrams based on graph transformation,NA,https://ieeexplore.ieee.org/abstract/document/1388321/?casa_…ULamUaP6WTuWp0xk_gYr8n9Ud9lquI6szFE_SenIpTZTiCKepYyeAMlEZUEc,,1. NO,1. NO,1. NO,1. NO
,"DCharts, a formalism for modeling and simulation based design of reactive software systems",NA,http://msdl.cs.mcgill.ca/people/tfeng/docs/hacklinux/thesis/thesis.pdf,,1. NO,1. NO,1. NO,1. NO
,A framework for the verification of uml models. examples using petri nets,NA,https://repositorio.uam.es/handle/10486/665917,,1. NO,1. NO,1. NO,1. NO
,A multi-paradigm modeling framework for energy systems simulation and analysis,NA,https://www.sciencedirect.com/science/article/pii/S0098135411001669,,1. NO,1. NO,1. NO,1. NO
,Survey and classification of model transformation tools,NA,https://idp.springer.com/authorize/casa?redirect_uri=https:/…Kxd3vmXBGTv9Oh4NN--uW6SuTNKYPlA3jZ7U_JujmTEWoAGe_WT3V00dp0Yg,,1. NO,1. NO,1. NO,1. NO
,Modeling and simulation in inquiry learning: Checking solutions and giving intelligent advice,NA,https://journals.sagepub.com/doi/abs/10.1177/003754970607419…9usX8hlnFfK9EpBaMvziWmbzglbjxdy2ZfAnRrjnLCOlNib9xyrHRTyUC0wQ,,1. NO,1. NO,1. NO,1. NO
,"A model-driven software environment for modeling, simulation and analysis of complex systems.",NA,https://pdfs.semanticscholar.org/aacb/5d7a10d02e694e0e7156ed731da5e830b1c1.pdf,,1. NO,1. NO,1. NO,1. NO
,Solution workflows for model-based analysis of complex systems,NA,https://ieeexplore.ieee.org/abstract/document/5966370/?casa_…dr6W-SsRkLfmQe4j7CU0hGL0bdoq0GR4VMvHNFWKt8gtTWy-wlYplRQBx7pE,,1. NO,1. NO,1. NO,1. NO
,A multi-level approach to modeling language extension in the enterprise systems domain,NA,https://www.sciencedirect.com/science/article/pii/S0306437915000137,,1. NO,1. NO,1. NO,1. NO
,A multiformalism and multiresolution modelling environment: application to the cardiovascular system and its regulation,NA,https://royalsocietypublishing.org/doi/abs/10.1098/rsta.2009.0163,,1. NO,1. NO,1. NO,1. NO
,Exploiting product forms solution techniques in multiformalism modeling,NA,https://www.sciencedirect.com/science/article/pii/S1571066113000364,,1. NO,1. NO,1. NO,1. NO
,"The generic model query language GMQL–conceptual specification, implementation, and runtime evaluation",NA,https://www.sciencedirect.com/science/article/pii/S0306437914000957,,1. NO,1. NO,1. NO,1. NO
,Programmed graph rewriting with DEVS,NA,https://link.springer.com/chapter/10.1007/978-3-540-89020-1_11,,1. NO,1. NO,1. NO,1. NO
,Towards graph transformation based generation of visual editors using eclipse,NA,https://www.sciencedirect.com/science/article/pii/S1571066105001829,,1. NO,1. NO,1. NO,1. NO
,Challenges for addressing quality factors in model transformation,NA,https://ieeexplore.ieee.org/abstract/document/6200115/?casa_…vzM9aRiQ1WG_iILoby6-5GORfG61Jw10xWtFgLcQxs2P-CAUUyZNKol_RMw8,,1. NO,1. NO,1. NO,1. NO
,A language-independent and formal approach to pattern-based modelling with support for composition and analysis,NA,https://www.sciencedirect.com/science/article/pii/S0950584910000455,,1. NO,1. NO,1. NO,1. NO
,Parallel graph transformation for model simulation applied to timed transition petri nets,NA,https://repositorio.uam.es/handle/10486/662660,,1. NO,1. NO,1. NO,1. NO
,Modeling a model transformation language,NA,https://link.springer.com/chapter/10.1007/978-3-642-36654-3_9,,1. NO,1. NO,1. NO,1. NO
,Domain specific languages with graphical and textual views,NA,https://link.springer.com/chapter/10.1007/978-3-540-89020-1_7,,3. YES,2. MAYBE,3. YES,3. YES
,Operational semantics of UML activity diagram: An application in project management,NA,https://ieeexplore.ieee.org/abstract/document/6360083/,,1. NO,1. NO,1. NO,1. NO
,A survey on transformation tools for model based user interface development,NA,https://link.springer.com/chapter/10.1007/978-3-540-73105-4_128,,1. NO,1. NO,1. NO,1. NO
,Domain-Specific Modelling With Atom3.,NA,https://www.researchgate.net/profile/Hans_Vangheluwe/publica…17a018f0fcfa000000/Domain-Specific-Modelling-with-AToM-3.pdf,,3. YES,1. NO,2. MAYBE,3. YES
,Design-time simulation of domain-specific models by incremental pattern matching,NA,https://ieeexplore.ieee.org/abstract/document/4639089/?casa_…KN48MxtaeOACqmD-vvl8AP4qJyDj7quD-sdz7A_8Che0RwsSlH5JhFxf1GMY,,1. NO,1. NO,1. NO,1. NO
,UML action semantics for model transformation systems,NA,https://pp.bme.hu/ee/article/view/951,,1. NO,1. NO,1. NO,1. NO
,Generation of DEVS modelling and simulation environments,NA,http://atom3.cs.mcgill.ca/people/eposse/research/pictures/research/publications/devs_codegen.pdf,,1. NO,1. NO,1. NO,1. NO
,Manual and automated performance optimization of model transformation systems,NA,https://idp.springer.com/authorize/casa?redirect_uri=https:/…eJmdMZsoapedIv6ZtsEXtK-XxY0Dcad7HmGrTTChDUaZ7Dg8qiYO5MG6Yq2w,,1. NO,1. NO,1. NO,1. NO
,A survey of modelling and simulation software frameworks using Discrete Event System Specification,NA,https://drops.dagstuhl.de/opus/volltexte/2014/4772/,,1. NO,1. NO,1. NO,1. NO
,A model-driven measurement approach,NA,https://link.springer.com/chapter/10.1007/978-3-540-87875-9_36,,1. NO,1. NO,1. NO,1. NO
,Towards the generation of a text-based IDE from a language metamodel,NA,https://link.springer.com/chapter/10.1007/978-3-540-72901-3_9,,1. NO,1. NO,1. NO,1. NO
,The SIMTHESys multiformalism modeling framework,NA,https://www.sciencedirect.com/science/article/pii/S0898122112002143,,2. MAYBE,1. NO,1. NO,1. NO
,Computer automated multi-paradigm modelling for analysis and design of traffic networks,NA,https://ieeexplore.ieee.org/abstract/document/1371323/,,1. NO,1. NO,1. NO,1. NO
,GRADIS–multiagent environment supporting distributed graph transformations,NA,https://link.springer.com/chapter/10.1007/978-3-540-69389-5_72,,1. NO,1. NO,1. NO,1. NO
,Generating collaborative systems for digital libraries: A model-driven approach,NA,https://ejournals.bc.edu/index.php/ital/article/view/3128,,1. NO,1. NO,1. NO,1. NO
,Mimosa: using ontologies for modeling and simulation,NA,https://dl.gi.de/bitstream/handle/20.500.12116/22586/227.pdf?sequence=1,,1. NO,1. NO,1. NO,1. NO
,Systematic transformation development,NA,http://journal.ub.tu-berlin.de/eceasst/article/view/290,,1. NO,1. NO,1. NO,1. NO
,DEVS-ruby: a domain specific language for DEVS modeling and simulation (WIP),NA,https://dl.acm.org/doi/abs/10.5555/2665008.2665023,,1. NO,1. NO,1. NO,1. NO
,Model-driven generative development of measurement software,NA,https://idp.springer.com/authorize/casa?redirect_uri=https:/…P7i_XAnu7pulIzbH_T2VaV5RFoeh6LmHvaaky1JU8cDF4PPbusC1dRw0iNcw,,1. NO,1. NO,1. NO,1. NO
,Distributed graphs transformed by multiagent system,NA,https://link.springer.com/chapter/10.1007/978-3-540-69731-2_115,,1. NO,1. NO,1. NO,1. NO
,A formal approach to the generation of visual language environments supporting multiple views,NA,https://ieeexplore.ieee.org/abstract/document/1509517/?casa_…BqwPnmYC-W7rjY4Zc5_-bXqZNEFDU-2J-N16cG7NWTlkduABuRm33BOF4G54,,2. MAYBE,1. NO,1. NO,1. NO
,"Kontraktbasierte Modellierung, Implementierung und Suche von Komponenten in serviceorientierten Architekturen.",NA,https://core.ac.uk/download/pdf/50517233.pdf,,1. NO,1. NO,1. NO,1. NO
,A UML/OCL framework for the analysis of graph transformation rules,NA,https://idp.springer.com/authorize/casa?redirect_uri=https:/…mWEFiQqF3VeiZIbE-tUIFwwNFbova8XiTU0Lvsi5ESEIB5NbbH8b9MSPdYSQ,,1. NO,1. NO,1. NO,1. NO
,Modelling and simulation of dynamic structure discrete-event systems,NA,https://www.researchgate.net/profile/Ernesto_Posse/publicati…re_discrete-event_systems/links/0f317537a6368437d7000000.pdf,,1. NO,1. NO,1. NO,1. NO
,Scenario animation for visual behavior models: A generic approach,NA,https://idp.springer.com/authorize/casa?redirect_uri=https:/…o48c_xpseSXHqzWsOMmozs2zPn8qYTQDw5_zzqUvaGgCAJdr_pXeTxL4ymNg,,1. NO,1. NO,1. NO,1. NO
,DREP: A requirements engineering process for dependable reactive systems,NA,https://link.springer.com/chapter/10.1007/978-3-642-00867-2_11,,1. NO,1. NO,1. NO,1. NO
,Defining the abstract syntax of visual languages with advanced graph grammars—a case study based on behavior trees,NA,https://www.sciencedirect.com/science/article/pii/S1045926X07000778,,1. NO,1. NO,1. NO,1. NO
,Model transformations,NA,https://link.springer.com/chapter/10.1007/978-3-642-30982-3_4,,1. NO,1. NO,1. NO,1. NO
,"Meta-modelling, graph transformation and model checking for the analysis of hybrid systems",NA,https://link.springer.com/chapter/10.1007/978-3-540-25959-6_21,,1. NO,1. NO,1. NO,1. NO
,Learning implicit and explicit control in model transformations by example,NA,https://link.springer.com/chapter/10.1007/978-3-319-11653-2_39,,1. NO,1. NO,1. NO,1. NO
,A framework for remote execution and visualization of Cell-DEVS models,NA,https://journals.sagepub.com/doi/abs/10.1177/003754970303994…qwqjBrhp9ADAcLcligK7xLimwzvtltEgqHHW-4aqAGFFQR7ZNuPy9URPGA6Q,,1. NO,1. NO,1. NO,1. NO
,A multi-paradigm modelling approach to the foundations of domain-specific modelling,NA,https://central.bac-lac.gc.ca/.item?id=TC-QMM-110552&op=pdf&app=Library&oclc_number=846796616,,1. NO,1. NO,1. NO,1. NO
,Model-driven assessment of use cases for dependable systems,NA,https://link.springer.com/chapter/10.1007/11880240_39,,1. NO,1. NO,1. NO,1. NO
,Formal integration of inheritance with typed attributed graph transformation for efficient VL definition and model manipulation,NA,https://ieeexplore.ieee.org/abstract/document/1509490/?casa_…iZcBFAvzJb0ZFU0o7BkvUcQTJ53H3d15QrXcdQZohIIweDZfCRNMKIXXQTI0,,1. NO,1. NO,1. NO,1. NO
,Incremental model queries in model-driven design,NA,https://repozitorium.omikk.bme.hu/bitstream/handle/10890/1231/ertekezes.pdf?sequence=1,,1. NO,1. NO,1. NO,1. NO
,A model-based recognition engine for sketched diagrams,NA,https://www.sciencedirect.com/science/article/pii/S1045926X09000780,,1. NO,1. NO,1. NO,1. NO
,VisualLISA: A visual environment to develop attribute grammars,NA,https://eudml.org/serve/252986/accessibleLayeredPdf/0,,1. NO,1. NO,1. NO,1. NO
,"Toward a collection of principles, techniques, and elements of modeling and simulation software",NA,https://ieeexplore.ieee.org/abstract/document/5283988/,,1. NO,1. NO,1. NO,1. NO
,A transformation-driven approach to the verification of security policies in web designs,NA,https://link.springer.com/chapter/10.1007/978-3-540-73597-7_22,,1. NO,1. NO,1. NO,1. NO
,Visual specification of measurements and redesigns for domain specific visual languages,NA,https://www.sciencedirect.com/science/article/pii/S1045926X07000675,,1. NO,1. NO,1. NO,1. NO
,Combining quality assurance and model transformations in business-driven development,NA,https://link.springer.com/chapter/10.1007/978-3-540-89020-1_1,,1. NO,1. NO,1. NO,1. NO
,Matters of model transformation,NA,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.492.4955&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
,Computing reading trees for constraint diagrams,NA,https://link.springer.com/chapter/10.1007/978-3-540-25959-6_19,,1. NO,1. NO,1. NO,1. NO
,GMTE: A Tool for Graph Transformation and Exact/Inexact Graph Matching,NA,https://link.springer.com/chapter/10.1007/978-3-642-38221-5_8,,1. NO,1. NO,1. NO,1. NO
,Transforming UML models to colored petri nets models using graph grammars,NA,https://ieeexplore.ieee.org/abstract/document/5202298/?casa_…vF8YUWxF4aV5thJ6f6ACE5HcRGP06s8HmRfMP_2f-sgZWe7LIvmE3FIILBtY,,1. NO,1. NO,1. NO,1. NO
,Autonomous energy grids,NA,https://www.osti.gov/biblio/1399662,,1. NO,1. NO,1. NO,1. NO
,Creating DEVS components with the meta-modelling tool AToM3,NA,https://www.researchgate.net/profile/Hans_Vangheluwe/publica…_METAMODELLING_TOOL_ATOM3/links/0c9605355bffd796de000000.pdf,,1. NO,1. NO,1. NO,1. NO
,Pattern composition in graph transformation rules,NA,https://ris.utwente.nl/ws/files/5109512/00000179.pdf#page=39,,1. NO,1. NO,1. NO,1. NO
,Comparison and evaluation of model transformation tools,NA,https://research.cs.queensu.ca/TechReports/Reports/2015-627.pdf,,1. NO,1. NO,1. NO,1. NO
,UML interaction diagrams: Correct translation of sequence diagrams into collaboration diagrams,NA,https://link.springer.com/chapter/10.1007/978-3-540-25959-6_20,,1. NO,1. NO,1. NO,1. NO
,Automated inference of likely metamorphic relations for model transformations,NA,https://www.sciencedirect.com/science/article/pii/S0164121217300870,,1. NO,1. NO,1. NO,1. NO
,MDE and customization of modeling and simulation web applications,NA,https://www.sciencedirect.com/science/article/pii/S1569190X08001925,,1. NO,1. NO,1. NO,1. NO
,Search‐based model transformations,NA,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.1804?cas…j0Y8gYaecF7SFG6ytMow9NhMbgxDOJb-JFzPb5V_p4ypJUFD_wFJgtWOpb-P,,1. NO,1. NO,1. NO,1. NO
,Verifying modelling languages using lightning: a case study,NA,https://orbilu.uni.lu/handle/10993/20100,,1. NO,1. NO,1. NO,1. NO
,Time and space issues in the generation of graph transition systems,NA,https://www.sciencedirect.com/science/article/pii/S1571066105001106,,1. NO,1. NO,1. NO,1. NO
,A Model Driven Approach for the Atomated Analysis of UML Class Diagrams,NA,http://kyriakos.anastasakis.net/prof/pubs/anastasakis_thesis.pdf,,1. NO,1. NO,1. NO,1. NO
,Meta-modelling hybrid formalisms,NA,https://ieeexplore.ieee.org/abstract/document/1393852/?casa_…0Eftyi5vQ28824haNt1Mwj1kkzzAkUlzgdRghzQaXzB2jEzqeahhOIzsXYuQ,,1. NO,1. NO,1. NO,1. NO
,"Defining Tasks, Domains and Conversational Acts in CSCW Systems: the SPACE-DESIGN Case Study.",NA,http://jucs.org/jucs_14_9/defining_tasks_domains_and/jucs_14_09_1463_1479_duque.pdf,,1. NO,1. NO,1. NO,1. NO
,Graphical template language for transformation synthesis,NA,https://link.springer.com/chapter/10.1007/978-3-642-12107-4_18,,1. NO,1. NO,1. NO,1. NO
,Computer automated multi-paradigm modeling,NA,https://www.cs.mcgill.ca/~hv/publications/04.TSCS.CAMPaM.pdf,,1. NO,1. NO,1. NO,1. NO
,Transforming statechart models to DEVS,NA,http://msdl.cs.mcgill.ca/people/sborla/thesis.pdf,,1. NO,1. NO,1. NO,1. NO
,Distributed event graphs: Formalizing component-based modelling and simulation,NA,https://www.sciencedirect.com/science/article/pii/S1571066105001830,,1. NO,1. NO,1. NO,1. NO
,Definition of visual processes in a language for expressing transitions,NA,https://www.sciencedirect.com/science/article/pii/S1045926X04000151,,1. NO,1. NO,1. NO,1. NO
,Precise model-driven transformations based on graphs and metamodels,NA,https://ieeexplore.ieee.org/abstract/document/5368074/?casa_…WxQBRjVVzy4rzvzc_26Na7vi2JR76P7kYyZrfzB2apPOq0C4KMZ0u9ouoZfU,,1. NO,1. NO,1. NO,1. NO
,Modelling and analysis of traffic networks based on graph transformation,NA,https://repositorio.uam.es/handle/10486/665981,,1. NO,1. NO,1. NO,1. NO
,Transformational approaches to model driven architecture-A review,NA,https://ieeexplore.ieee.org/abstract/document/4402766/?casa_…KldtdT343pCEHs6uF2CwC1l31D21L0Iedgtzve2lIWzMIBcTYvnp4slgDUW8,,1. NO,1. NO,1. NO,1. NO
,On the Use of Graph Transformation in the Modeling and Verification of Dynamic Behavior in UML Models.,NA,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.348.5716&rep=rep1&type=pdf#page=103,,1. NO,1. NO,1. NO,1. NO
,An algorithm for hypergraph completion according to hyperedge replacement grammars,NA,https://link.springer.com/chapter/10.1007/978-3-540-87405-8_4,,1. NO,1. NO,1. NO,1. NO
,Local context-based recognition of sketched diagrams,NA,https://www.sciencedirect.com/science/article/pii/S1045926X14001141,,1. NO,1. NO,1. NO,1. NO
,The model morphing approach, horizontal transformation of business process models,,https://repositum.tuwien.at/handle/20.500.12708/14015,1. NO,1. NO,1. NO,1. NO
,Towards reusing model components in systems biology,NA,https://link.springer.com/chapter/10.1007/978-3-540-25974-9_15,,1. NO,1. NO,1. NO,1. NO
,Correctly defined concrete syntax,NA,https://link.springer.com/chapter/10.1007/11880240_9,,1. NO,1. NO,1. NO,1. NO
,Tool integration by model transformations based on the eclipse modeling framework,NA,https://repozitorium.omikk.bme.hu/bitstream/handle/10890/1778/16597.pdf?sequence=1,,1. NO,1. NO,1. NO,1. NO
,Visual interactive simulation for distance education,NA,https://journals.sagepub.com/doi/abs/10.1177/003754970325345…4F-mBFBGAA5Iy1wruWqiSR0GG6rkJTcQkJjczIWGEc-tauuKSi661WTSHgEA,,1. NO,1. NO,1. NO,1. NO
,Building syntax-aware editors for visual languages,NA,https://www.sciencedirect.com/science/article/pii/S1045926X05000339,,1. NO,1. NO,1. NO,1. NO
,Specification of model transformation and weaving in model driven engineering,NA,http://www.academia.edu/download/52085557/PhDThesis_DiRuscio.pdf,,1. NO,1. NO,1. NO,1. NO
,An introduction to multiformalism modeling,NA,https://www.igi-global.com/chapter/an-introduction-to-multiformalism-modeling/91938,,1. NO,1. NO,1. NO,1. NO
,A methodology for the development of complex domain specific languages,NA,https://cds.cern.ch/record/1374181,,1. NO,1. NO,1. NO,1. NO
,Transformational pattern system–some assembly required,NA,https://www.sciencedirect.com/science/article/pii/S1571066108002454,,1. NO,1. NO,1. NO,1. NO
,The DEVS-driven modeling language: syntax and semantics definition by meta-modeling and graph transformation.,NA,https://www.researchgate.net/profile/Mamadou_Traore2/publica…ics-Definition-by-Meta-Modeling-and-Graph-Transformation.pdf,,1. NO,1. NO,1. NO,1. NO
,From UML Activity Diagrams to CSP Expressions: A Graph Transformation Approach using Atom^ sup 3^ Tool,NA,https://www.researchgate.net/profile/Allaoua_Chaoui/publicat…pproach_using_Atom_3_Tool/links/553fc0580cf2736761c20f08.pdf,,1. NO,1. NO,1. NO,1. NO
,A generic layout algorithm for meta-model based editors,NA,https://link.springer.com/chapter/10.1007/978-3-540-89020-1_6,,1. NO,1. NO,1. NO,1. NO
,Ludo: A case study for graph transformation tools,NA,https://link.springer.com/chapter/10.1007/978-3-540-89020-1_34,,1. NO,1. NO,1. NO,1. NO
,Visual languages for interactive computing: definitions and formalizations,NA,https://www.igi-global.com/book.aspx?ref=visual-languages-interactive-computing&titleid=1038&f=e-book&f=e-book,,1. NO,1. NO,1. NO,1. NO
,Methodology for the derivation of product behaviour in a Software Product Line,NA,https://tel.archives-ouvertes.fr/tel-00925479/,,1. NO,1. NO,1. NO,1. NO
